Id;Title;URL
1888930;The Last of Us™ Part I
1627720;Lies of P
1245620;ELDEN RING
236850;Europa Universalis IV
1086940;Baldur's Gate 3
1158310;Crusader Kings III
1091500;Cyberpunk 2077
1371980;No Rest for the Wicked
220;Half-Life 2
1237970;Titanfall® 2
292030;The Witcher 3: Wild Hunt
435150;Divinity: Original Sin 2
24780;SimCity 4 Deluxe
2229850;Command & Conquer Red Alert™ 2
1942280;Brotato
205100;Dishonored
17450;Dragon Age: Origins
489830;Skyrim
268500;XCOM 2
294100;RimWorld
312660;Sniper Elite 4
1151640;Horizon Zero Dawn
3240220;Grand Theft Auto V
13540;Tom Clancy's Rainbow Six: Vegas
3768760;007 First Light
wow;World Of Warcraft;https://worldofwarcraft.blizzard.com/
uncharted;UNCHARTED™ The Nathan Drake Collection;https://www.playstation.com/en-us/games/uncharted-the-nathan-drake-collection/
uncharted4;UNCHARTED 4: A Thief's End;https://www.playstation.com/en-us/games/uncharted-4-a-thiefs-end/
1328670;Mass Effect trilogy
dead-nation;Dead Nation;https://www.mobygames.com/game/64615/dead-nation/
107100;Bastion
374320;DARK SOULS™ III
704450;Neverwinter Nights
32370;STAR WARS™ Knights of the Old Republic™
diablo3;Diablo III;https://diablo3.blizzard.com/en-us/
1593500;God of War
22300;Fallout 3
3900;Sid Meier's Civilization IV
646570;Slay the Spire
38420;Fallout Tactics: Brotherhood of Steel
bloodborne;Bloodborne;https://www.playstation.com/en-us/games/bloodborne/
404730;Wasteland 2: Director's Cut
49520;Borderlands 2
2742830;Monster Train 2
686060;Mewgenics
2322010;God of War Ragnarök
1145360;Hades
4700;Total War: MEDIEVAL II
1282100;Remnant II
719040;Wasteland 3
2344520;Diablo® IV
239140;Dying Light
1259420;Days Gone
364360;Total War: WARHAMMER
105600;Terraria
57690;Tropico 4
starcraft;Starcraft II;https://starcraft2.blizzard.com/en-us/
610370;Desperados III
1659040;HITMAN World of Assassination
238960;Path of Exile
grid;Grid;https://www.mobygames.com/game/34317/grid/
2379780;Balatro
1808500;ARC Raiders
228200;Company of Heroes
no-one-lives-forever;No One Lives Forever;https://www.mobygames.com/game/2617/the-operative-no-one-lives-forever/
204100;Max Payne 3
gears;Gears Of War;https://www.mobygames.com/game/25761/gears-of-war/
934700;Dead Island 2
3405340;Megabonk
588650;Dead Cells
814380;Sekiro™: Shadows Die Twice
1145350;Hades II
33250;Anno 1404
2680010;The First Berserker: Khazan
2215430;Ghost of Tsushima
377160;Fallout 4
1599660;Sackboy™: A Big Adventure
1850570;DEATH STRANDING DIRECTOR'S CUT
264710;Subnautica
1184050;Gears Tactics
1426210;It Takes Two
245490;Trials Fusion
2088570;Tiny Rogues
1021210;Cyber Knights: Flashpoint
234140;Mad Max
22600;Worms Reloaded
cannon-fodder;Cannon Fodder;https://www.mobygames.com/game/210/cannon-fodder/
403640;Dishonored 2
1775490;Slice & Dice
242920;Banished
lemmings;Lemmings;https://www.mobygames.com/game/683/lemmings/
379720;DOOM
darkness;The Darkness;https://www.mobygames.com/game/29038/the-darkness/
337000;Deus Ex: Mankind Divided
2366980;Thank Goodness You're Here!
412740;Audioshield
233450;Prison Architect
323190;Frostpunk
365590;Tom Clancy’s The Division™
1405790;John Wick Hex
2784470;9 Kings
219990;Grim Dawn
xiii;XIII;https://www.mobygames.com/game/11251/xiii/
3167020;Escape From Duckov
2084000;Shogun Showdown
