Id;Title;Genres;Rating
tt0133093;The Matrix;Action, Sci-Fi;10
tt0111161;The Shawshank Redemption;Drama;10
tt0208092;Snatch;Comedy, Crime;10
tt14544192;Bo Burnham: Inside;Documentary, Comedy, Drama, Music;10
tt0118715;The Big Lebowski;Comedy, Crime;9
tt0082096;Das Boot;Drama, War;9
tt0468569;The Dark Knight;Crime, Thriller;9
tt0258463;The Bourne Identity;Action, Mystery, Thriller;9
tt0095016;Die Hard;Action, Thriller;9
tt0107048;Groundhog Day;Comedy, Drama, Fantasy, Romance;9
tt1631867;Edge of Tomorrow;Action, Adventure, Sci-Fi;9
tt2911666;John Wick;Action, Crime, Thriller;9
tt0120382;The Truman Show;Comedy, Drama;9
tt0109830;Forrest Gump;Drama, Romance;9
tt0211915;Amélie;Comedy, Romance;9
tt0068646;The Godfather;Crime, Drama;9
tt0120586;American History X;Crime, Drama;9
tt0209144;Memento;Mystery, Thriller;9
tt0110912;Pulp Fiction;Crime, Drama;9
tt0372784;Batman Begins;Crime;8
tt1345836;The Dark Knight Rises;Crime, Thriller;8
tt0165832;Interstate 60;Adventure, Comedy, Drama, Fantasy;8
tt0103064;Terminator 2: Judgment Day;Action, Adventure, Sci-Fi;8
tt0112864;Die Hard with a Vengeance;Action, Adventure, Thriller;8
tt0088247;The Terminator;Action, Adventure, Sci-Fi;8
tt7286456;Joker;Drama;8
tt1276104;Looper;Action, Drama, Sci-Fi, Thriller;8
tt0240772;Ocean's Eleven;Crime, Thriller;8
tt0387564;Saw;Horror, Mystery, Thriller;8
tt0338013;Eternal Sunshine of the Spotless Mind;Drama, Romance, Sci-Fi;8
tt0119116;The Fifth Element;Action, Adventure, Sci-Fi;8
tt0407887;The Departed;Crime, Drama, Thriller;8
tt0088763;Back to the Future;Adventure, Comedy, Sci-Fi;8
tt1182345;Moon;Drama, Mystery, Sci-Fi;8
tt0314331;Love Actually;Comedy, Drama, Romance;8
tt0113189;GoldenEye;Action, Adventure, Thriller;8
tt0221027;Blow;Biography, Crime, Drama;8
tt0172495;Gladiator;Action, Adventure, Drama;8
tt0198781;Monsters, Inc.;Animation, Adventure, Comedy, Family, Fantasy;8
tt0910970;WALL·E;Animation, Adventure, Family, Sci-Fi;8
tt1375666;Inception;Adventure, Sci-Fi, Thriller;8
tt1049413;Up;Animation, Adventure, Comedy, Drama, Family;8
tt0137523;Fight Club;Crime, Drama, Thriller;8
tt1392190;Mad Max: Fury Road;Action, Adventure, Sci-Fi;8
tt0816692;Interstellar;Adventure, Drama, Sci-Fi;8
tt0091763;Platoon;Drama, War;8
tt0114369;Seven;Crime, Drama, Mystery, Thriller;8
tt1856101;Blade Runner 2049;Action, Drama, Mystery, Sci-Fi, Thriller;8
tt0114746;12 Monkeys;Mystery, Sci-Fi, Thriller;8
tt3315342;Logan;Action, Drama, Sci-Fi, Thriller;8
tt0993846;The Wolf of Wall Street;Biography, Comedy, Crime, Drama;8
tt0134847;Pitch Black;Horror, Sci-Fi, Thriller;8
tt0120815;Saving Private Ryan;Drama, War;8
tt1136608;District 9;Action, Alien Invasion;8
tt6751668;Parasite;Drama, Thriller;8
tt0120889;What Dreams May Come;Drama, Fantasy, Romance;8
tt0058150;Goldfinger;Action, Adventure, Thriller;8
tt1663202;The Revenant;Action, Drama, Western;8
tt0317705;The Incredibles;Animation, Action, Adventure, Family;8
tt0099785;Home Alone;Comedy, Family;8
tt37287335;Obsession;Horror, Dark Romance;7
